timestamp,open,high,low,close,volume
2026-05-16 01:00:00,2226.13,2227.83,2225.21,2227.75,9194.577
2026-05-16 01:15:00,2227.75,2229.15,2222.76,2223.01,18105.676
2026-05-16 01:30:00,2223.01,2224.93,2222.37,2223.35,10567.896
2026-05-16 01:45:00,2223.35,2229.99,2223.34,2228.63,17109.864
2026-05-16 02:00:00,2228.63,2230.56,2227.78,2229.52,10456.032
2026-05-16 02:15:00,2229.52,2229.52,2226.85,2227.38,8007.708
2026-05-16 02:30:00,2227.38,2228.55,2225.87,2227.17,7241.303
2026-05-16 02:45:00,2227.16,2229.63,2226.77,2228.84,6894.415
2026-05-16 03:00:00,2228.84,2229.63,2228.31,2228.76,8559.754
2026-05-16 03:15:00,2228.76,2229.3,2228.11,2229.19,5168.489
2026-05-16 03:30:00,2229.19,2229.38,2226.21,2226.22,5425.462
2026-05-16 03:45:00,2226.22,2227.47,2225.67,2226.63,9483.465
2026-05-16 04:00:00,2226.63,2227.9,2224.89,2224.9,9406.835
2026-05-16 04:15:00,2224.89,2226.0,2223.95,2224.12,6103.296
2026-05-16 04:30:00,2224.12,2224.7,2216.54,2222.25,42465.236
2026-05-16 04:45:00,2222.25,2225.5,2221.71,2224.99,9348.933
2026-05-16 05:00:00,2225.0,2225.5,2221.82,2225.0,9211.643
2026-05-16 05:15:00,2225.0,2226.2,2224.1,2225.66,7894.263
2026-05-16 05:30:00,2225.66,2226.2,2222.89,2224.58,8830.742
2026-05-16 05:45:00,2224.59,2226.0,2223.29,2224.43,4016.061
2026-05-16 06:00:00,2224.42,2225.99,2220.82,2221.79,8934.821
2026-05-16 06:15:00,2221.79,2222.18,2217.26,2219.03,24606.499
2026-05-16 06:30:00,2219.04,2221.04,2214.3,2215.39,27196.853
2026-05-16 06:45:00,2215.38,2217.45,2208.0,2214.38,73325.813
2026-05-16 07:00:00,2214.39,2214.79,2180.12,2190.68,297690.89
2026-05-16 07:15:00,2190.68,2194.7,2180.12,2191.63,142258.761
2026-05-16 07:30:00,2191.63,2200.0,2187.65,2197.03,78521.173
2026-05-16 07:45:00,2197.02,2197.58,2192.12,2193.52,32653.414
2026-05-16 08:00:00,2193.51,2196.06,2192.87,2193.11,24225.894
2026-05-16 08:15:00,2193.11,2194.81,2190.69,2194.15,19225.627
2026-05-16 08:30:00,2194.16,2195.5,2192.01,2193.99,18214.381
2026-05-16 08:45:00,2194.0,2194.35,2191.55,2192.24,15164.178
2026-05-16 09:00:00,2192.25,2192.89,2181.48,2185.01,65856.612
2026-05-16 09:15:00,2185.01,2186.0,2160.5,2169.01,269164.778
2026-05-16 09:30:00,2169.01,2176.55,2168.56,2174.54,51167.231
2026-05-16 09:45:00,2174.55,2177.0,2169.52,2172.5,43170.81
2026-05-16 10:00:00,2172.5,2173.5,2166.03,2170.42,68193.72
2026-05-16 10:15:00,2170.41,2172.12,2161.2,2165.84,68260.927
2026-05-16 10:30:00,2165.84,2174.31,2165.84,2170.47,50860.245
2026-05-16 10:45:00,2170.47,2173.55,2169.21,2172.99,15824.716
2026-05-16 11:00:00,2173.0,2178.56,2173.0,2176.3,35523.033
2026-05-16 11:15:00,2176.3,2178.37,2174.44,2177.49,22687.639
2026-05-16 11:30:00,2177.5,2180.46,2176.51,2178.0,23427.067
2026-05-16 11:45:00,2178.01,2178.25,2175.03,2175.33,13635.415
2026-05-16 12:00:00,2175.33,2177.84,2174.5,2176.23,15870.643
2026-05-16 12:15:00,2176.23,2178.15,2172.53,2175.05,27874.812
2026-05-16 12:30:00,2175.06,2177.66,2174.99,2177.63,11656.782
2026-05-16 12:45:00,2177.64,2178.56,2175.4,2175.41,9743.824
2026-05-16 13:00:00,2175.4,2176.1,2171.11,2172.31,19090.379
2026-05-16 13:15:00,2172.3,2176.84,2171.4,2176.15,18720.515
2026-05-16 13:30:00,2176.14,2179.95,2172.38,2176.58,29256.121
2026-05-16 13:45:00,2176.58,2177.82,2174.79,2176.16,10461.9
2026-05-16 14:00:00,2176.16,2178.58,2172.6,2174.55,24682.351
2026-05-16 14:15:00,2174.55,2177.48,2173.31,2175.99,13015.15
2026-05-16 14:30:00,2176.0,2181.89,2176.0,2181.82,30264.219
2026-05-16 14:45:00,2181.82,2187.42,2177.21,2178.97,55164.623
2026-05-16 15:00:00,2178.96,2182.9,2177.09,2178.36,16428.905
2026-05-16 15:15:00,2178.36,2179.41,2175.82,2176.82,11604.246
2026-05-16 15:30:00,2176.81,2181.74,2176.81,2181.24,13708.921
2026-05-16 15:45:00,2181.24,2182.53,2178.07,2178.95,10347.497
2026-05-16 16:00:00,2178.94,2182.79,2174.48,2175.43,29618.407
2026-05-16 16:15:00,2175.42,2178.36,2173.66,2176.66,18937.056
2026-05-16 16:30:00,2176.65,2177.06,2169.0,2171.19,30298.928
2026-05-16 16:45:00,2171.2,2174.58,2171.19,2173.29,15845.79
2026-05-16 17:00:00,2173.29,2176.94,2173.29,2176.11,9641.793
2026-05-16 17:15:00,2176.11,2178.0,2174.85,2177.56,14259.012
2026-05-16 17:30:00,2177.56,2178.75,2177.14,2178.23,8043.648
2026-05-16 17:45:00,2178.23,2179.99,2177.02,2177.87,14295.179
2026-05-16 18:00:00,2177.86,2180.0,2176.5,2177.42,8008.259
2026-05-16 18:15:00,2177.41,2178.09,2175.22,2177.39,6375.953
2026-05-16 18:30:00,2177.38,2179.5,2176.96,2178.24,5596.59
2026-05-16 18:45:00,2178.24,2184.33,2178.24,2180.59,23388.749
2026-05-16 19:00:00,2180.59,2180.77,2179.39,2179.93,5207.285
2026-05-16 19:15:00,2179.92,2180.53,2178.59,2180.24,4203.552
2026-05-16 19:30:00,2180.23,2180.53,2179.26,2179.74,4066.373
2026-05-16 19:45:00,2179.74,2182.0,2178.11,2178.71,12261.961
2026-05-16 20:00:00,2178.72,2182.13,2178.72,2181.02,6967.546
2026-05-16 20:15:00,2181.02,2182.23,2180.85,2180.98,4510.768
2026-05-16 20:30:00,2180.97,2181.15,2178.8,2179.93,4468.897
2026-05-16 20:45:00,2179.92,2181.22,2179.55,2180.4,2908.938
2026-05-16 21:00:00,2180.39,2182.77,2179.87,2181.77,5278.745
2026-05-16 21:15:00,2181.76,2181.77,2179.9,2180.94,3459.857
2026-05-16 21:30:00,2180.94,2182.04,2180.22,2181.86,5911.607
2026-05-16 21:45:00,2181.86,2182.55,2180.8,2181.47,5195.145
2026-05-16 22:00:00,2181.47,2182.38,2178.59,2181.0,10685.519
2026-05-16 22:15:00,2180.99,2182.14,2180.98,2181.37,3715.563
2026-05-16 22:30:00,2181.36,2181.5,2180.0,2180.58,3975.176
2026-05-16 22:45:00,2180.57,2180.95,2179.02,2179.37,5430.647
2026-05-16 23:00:00,2179.36,2179.7,2178.16,2179.29,5764.257
2026-05-16 23:15:00,2179.28,2182.0,2179.28,2180.99,5000.11
2026-05-16 23:30:00,2180.99,2181.7,2180.44,2180.96,3770.497
2026-05-16 23:45:00,2180.96,2181.99,2178.75,2179.66,9529.92
2026-05-17 00:00:00,2179.67,2184.79,2179.67,2183.01,18029.788
2026-05-17 00:15:00,2183.01,2183.96,2181.0,2182.74,11023.701
2026-05-17 00:30:00,2182.74,2183.4,2179.76,2180.35,8724.078
2026-05-17 00:45:00,2180.35,2181.27,2172.61,2176.64,35263.473
2026-05-17 01:00:00,2176.63,2182.78,2173.42,2180.65,34120.093
2026-05-17 01:15:00,2180.64,2181.25,2174.6,2176.75,11024.774
2026-05-17 01:30:00,2176.75,2177.18,2166.66,2169.56,71105.702
2026-05-17 01:45:00,2169.56,2173.94,2168.01,2168.22,31342.147
2026-05-17 02:00:00,2168.22,2174.89,2168.21,2171.73,15850.031
2026-05-17 02:15:00,2171.72,2174.36,2170.3,2174.19,10347.126
2026-05-17 02:30:00,2174.2,2175.47,2172.5,2173.69,10514.911
2026-05-17 02:45:00,2173.68,2174.3,2171.27,2173.34,10193.444
2026-05-17 03:00:00,2173.34,2178.0,2173.3,2176.47,13541.492
2026-05-17 03:15:00,2176.47,2178.41,2176.18,2177.53,9481.929
2026-05-17 03:30:00,2177.53,2181.43,2177.2,2179.28,18224.285
2026-05-17 03:45:00,2179.29,2183.71,2179.03,2180.57,16113.487
2026-05-17 04:00:00,2180.57,2184.27,2180.0,2181.99,16806.188
2026-05-17 04:15:00,2182.0,2187.35,2181.71,2184.98,35682.082
2026-05-17 04:30:00,2184.98,2188.98,2182.8,2187.07,30844.189
2026-05-17 04:45:00,2187.08,2188.88,2186.0,2186.3,21692.412
2026-05-17 05:00:00,2186.3,2194.9,2186.0,2189.91,48956.127
2026-05-17 05:15:00,2189.92,2190.0,2187.19,2187.47,19087.75
2026-05-17 05:30:00,2187.47,2189.13,2186.0,2187.11,11334.706
2026-05-17 05:45:00,2187.11,2188.3,2184.39,2184.9,13054.587
2026-05-17 06:00:00,2184.9,2187.0,2184.89,2185.89,8115.25
2026-05-17 06:15:00,2185.89,2186.31,2180.5,2183.0,20547.545
2026-05-17 06:30:00,2183.0,2184.49,2181.19,2181.4,8913.457
2026-05-17 06:45:00,2181.4,2184.04,2181.39,2184.04,7387.33
2026-05-17 07:00:00,2184.03,2184.41,2182.7,2183.01,6584.076
2026-05-17 07:15:00,2183.01,2185.59,2181.35,2183.83,8477.563
2026-05-17 07:30:00,2183.83,2187.5,2182.79,2184.68,13921.699
2026-05-17 07:45:00,2184.69,2185.99,2184.59,2185.19,9894.86
2026-05-17 08:00:00,2185.18,2186.0,2184.19,2184.44,9228.253
2026-05-17 08:15:00,2184.44,2184.58,2181.84,2183.48,9555.359
2026-05-17 08:30:00,2183.48,2185.79,2183.1,2185.0,6516.54
2026-05-17 08:45:00,2184.99,2185.45,2183.94,2185.16,4526.505
2026-05-17 09:00:00,2185.16,2188.4,2184.83,2187.62,9244.313
2026-05-17 09:15:00,2187.62,2189.26,2187.04,2188.21,10979.201
2026-05-17 09:30:00,2188.21,2188.21,2186.01,2186.86,5304.381
2026-05-17 09:45:00,2186.87,2190.57,2186.61,2189.09,12909.747
2026-05-17 10:00:00,2189.09,2196.06,2189.02,2193.44,56994.571
2026-05-17 10:15:00,2193.44,2197.63,2192.46,2194.28,30867.441
2026-05-17 10:30:00,2194.28,2196.85,2192.52,2193.5,17954.267
