PrevVol Multi,Waterfall,Trades,Win Rate (%),Total PnL (%),Max DD (%)
2.0x,-0.3%,19,52.6%,36.96%,2.38%
2.0x,-0.5%,21,47.6%,33.45%,3.28%
2.0x,-0.8%,22,45.5%,33.01%,3.72%
2.0x,-1.0%,22,45.5%,33.01%,3.72%
