timestamp,open,high,low,close,volume
2026-02-02 00:00:00,100.73,101.03,99.57,100.23,291812.47
2026-02-02 00:05:00,100.23,101.24,100.07,101.12,218690.71
2026-02-02 00:10:00,101.12,101.67,101.06,101.09,198833.54
2026-02-02 00:15:00,101.1,102.18,101.0,101.86,238109.97
2026-02-02 00:20:00,101.86,102.47,101.8,102.24,212331.63
2026-02-02 00:25:00,102.24,102.45,101.88,102.1,134624.26
2026-02-02 00:30:00,102.1,102.45,101.55,101.88,168256.28
2026-02-02 00:35:00,101.87,102.87,101.82,102.27,219517.6
2026-02-02 00:40:00,102.26,102.59,102.24,102.47,120482.49
2026-02-02 00:45:00,102.47,102.8,102.31,102.38,112741.34
2026-02-02 00:50:00,102.39,102.68,102.12,102.24,69384.67
2026-02-02 00:55:00,102.23,102.29,101.97,102.21,85600.97
2026-02-02 01:00:00,102.22,102.83,102.06,102.59,103085.46
2026-02-02 01:05:00,102.58,102.58,101.39,101.45,140304.16
2026-02-02 01:10:00,101.44,101.49,100.58,100.66,240017.88
2026-02-02 01:15:00,100.66,101.9,100.33,101.59,357943.67
2026-02-02 01:20:00,101.59,102.44,101.24,102.38,201687.51
2026-02-02 01:25:00,102.38,103.09,102.28,102.81,191065.32
2026-02-02 01:30:00,102.81,102.85,102.16,102.3,147567.7
2026-02-02 01:35:00,102.3,102.77,102.14,102.6,105175.63
2026-02-02 01:40:00,102.6,102.62,102.2,102.23,71501.78
2026-02-02 01:45:00,102.24,102.31,101.55,101.98,136368.83
2026-02-02 01:50:00,101.99,102.55,101.95,102.16,99953.11
2026-02-02 01:55:00,102.17,102.34,101.99,102.03,61517.43
2026-02-02 02:00:00,102.03,102.46,101.81,102.16,90203.28
2026-02-02 02:05:00,102.17,102.33,101.87,102.08,115062.32
2026-02-02 02:10:00,102.08,102.08,101.52,101.78,112679.25
2026-02-02 02:15:00,101.78,102.67,101.75,102.13,138074.95
2026-02-02 02:20:00,102.14,102.2,101.79,101.97,54480.09
2026-02-02 02:25:00,101.98,102.39,101.97,102.08,63930.75
2026-02-02 02:30:00,102.07,102.21,101.65,101.7,77611.88
2026-02-02 02:35:00,101.71,101.71,101.12,101.58,163017.88
2026-02-02 02:40:00,101.58,101.72,101.16,101.19,53330.24
2026-02-02 02:45:00,101.19,101.32,100.83,101.27,110459.76
2026-02-02 02:50:00,101.27,101.31,100.73,100.81,94897.07
2026-02-02 02:55:00,100.8,100.92,100.48,100.68,122433.3
2026-02-02 03:00:00,100.68,100.83,100.3,100.34,134884.74
2026-02-02 03:05:00,100.34,100.48,100.02,100.25,142337.36
2026-02-02 03:10:00,100.25,100.3,98.89,99.0,430836.11
2026-02-02 03:15:00,99.0,99.14,98.28,98.64,437632.98
2026-02-02 03:20:00,98.65,98.76,96.75,97.38,1207508.6
2026-02-02 03:25:00,97.38,97.7,96.68,96.94,454221.02
2026-02-02 03:30:00,96.94,97.48,96.23,96.51,643312.12
2026-02-02 03:35:00,96.52,96.74,95.83,96.41,479065.11
2026-02-02 03:40:00,96.4,97.29,96.37,97.05,303192.33
2026-02-02 03:45:00,97.06,99.72,96.94,99.55,629819.04
2026-02-02 03:50:00,99.56,100.05,98.87,99.52,481428.01
2026-02-02 03:55:00,99.52,100.4,99.52,100.0,364450.63
2026-02-02 04:00:00,100.01,100.1,99.09,99.13,243386.9
2026-02-02 04:05:00,99.12,99.58,98.76,99.57,164410.2
2026-02-02 04:10:00,99.57,99.62,98.58,98.85,180047.42
2026-02-02 04:15:00,98.85,100.25,98.77,100.11,229939.71
2026-02-02 04:20:00,100.11,100.86,99.72,100.83,268953.56
2026-02-02 04:25:00,100.84,101.29,100.62,101.23,277479.84
2026-02-02 04:30:00,101.22,101.75,100.85,101.28,302424.24
2026-02-02 04:35:00,101.29,101.46,101.0,101.2,151022.11
2026-02-02 04:40:00,101.2,101.26,100.85,100.88,76168.1
2026-02-02 04:45:00,100.87,100.91,100.42,100.44,126548.59
2026-02-02 04:50:00,100.44,100.8,100.31,100.43,71322.68
2026-02-02 04:55:00,100.44,100.58,100.12,100.26,99330.48
2026-02-02 05:00:00,100.26,100.4,99.8,100.32,130689.2
2026-02-02 05:05:00,100.33,100.36,99.37,99.63,164113.61
2026-02-02 05:10:00,99.64,99.75,99.38,99.57,115274.72
2026-02-02 05:15:00,99.57,99.67,98.8,99.15,240471.61
2026-02-02 05:20:00,99.15,99.29,98.77,99.1,136404.85
2026-02-02 05:25:00,99.09,99.19,98.02,98.47,341499.22
2026-02-02 05:30:00,98.47,98.87,98.14,98.2,209897.24
2026-02-02 05:35:00,98.19,98.39,97.57,97.82,302477.24
2026-02-02 05:40:00,97.83,98.35,97.74,98.03,164572.65
2026-02-02 05:45:00,98.02,98.32,97.74,98.15,172935.7
2026-02-02 05:50:00,98.14,98.87,97.79,98.11,264081.47
2026-02-02 05:55:00,98.12,98.6,98.1,98.22,117232.29
2026-02-02 06:00:00,98.22,98.34,97.0,98.08,415839.98
2026-02-02 06:05:00,98.08,98.64,97.88,98.62,169536.73
2026-02-02 06:10:00,98.62,98.73,98.22,98.57,103291.56
