timestamp,open,high,low,close,volume
2026-02-02 00:00:00,2269.03,2297.81,2240.13,2289.33,148793.717
2026-02-02 00:15:00,2289.33,2320.48,2287.01,2312.1,152791.564
2026-02-02 00:30:00,2312.1,2322.71,2305.0,2309.94,70660.401
2026-02-02 00:45:00,2309.94,2312.33,2286.02,2291.44,79669.589
2026-02-02 01:00:00,2291.44,2306.88,2255.34,2256.91,117195.987
2026-02-02 01:15:00,2256.9,2316.76,2247.59,2309.62,215275.107
2026-02-02 01:30:00,2309.62,2310.24,2292.1,2301.33,61271.899
2026-02-02 01:45:00,2301.33,2302.5,2285.25,2289.43,49069.466
2026-02-02 02:00:00,2289.43,2293.65,2273.49,2281.0,84316.141
2026-02-02 02:15:00,2281.01,2299.01,2278.83,2292.09,62260.907
2026-02-02 02:30:00,2292.08,2297.36,2266.4,2273.42,77886.424
2026-02-02 02:45:00,2273.42,2276.9,2257.6,2260.53,78810.168
2026-02-02 03:00:00,2260.53,2266.0,2226.48,2229.39,139999.364
2026-02-02 03:15:00,2229.4,2233.37,2164.36,2170.85,518475.993
2026-02-02 03:30:00,2170.84,2199.98,2163.21,2178.57,223005.535
2026-02-02 03:45:00,2178.58,2248.0,2177.4,2237.41,273372.29
2026-02-02 04:00:00,2237.4,2238.48,2205.51,2212.22,139421.382
2026-02-02 04:15:00,2212.22,2267.11,2210.63,2262.2,174163.892
2026-02-02 04:30:00,2262.19,2264.51,2252.07,2254.36,84300.986
2026-02-02 04:45:00,2254.37,2256.75,2238.59,2239.7,85964.119
2026-02-02 05:00:00,2239.71,2242.06,2212.65,2217.37,109612.895
2026-02-02 05:15:00,2217.37,2218.7,2183.07,2193.18,205268.705
2026-02-02 05:30:00,2193.19,2207.7,2183.15,2199.22,129070.658
2026-02-02 05:45:00,2199.22,2213.1,2187.13,2196.71,117041.354
2026-02-02 06:00:00,2196.7,2201.39,2178.0,2193.25,138752.838
2026-02-02 06:15:00,2193.24,2214.55,2188.01,2197.2,119339.056
2026-02-02 06:30:00,2197.19,2240.0,2156.0,2219.72,388999.653
2026-02-02 06:45:00,2219.71,2235.95,2205.5,2226.48,156419.451
2026-02-02 07:00:00,2226.48,2247.88,2217.18,2226.95,170920.705
2026-02-02 07:15:00,2226.95,2237.66,2215.2,2226.96,65443.161
2026-02-02 07:30:00,2226.97,2241.98,2223.76,2234.93,66985.179
2026-02-02 07:45:00,2234.93,2253.82,2226.77,2227.57,103909.704
2026-02-02 08:00:00,2227.56,2247.32,2227.56,2242.3,86137.503
2026-02-02 08:15:00,2242.3,2255.0,2235.43,2239.67,100453.948
2026-02-02 08:30:00,2239.67,2253.12,2238.45,2246.15,69903.316
2026-02-02 08:45:00,2246.15,2258.0,2243.19,2248.13,62506.34
2026-02-02 09:00:00,2248.14,2250.95,2236.43,2242.77,83906.887
2026-02-02 09:15:00,2242.77,2283.02,2237.22,2279.46,193061.846
2026-02-02 09:30:00,2279.46,2302.27,2272.92,2288.68,239272.747
2026-02-02 09:45:00,2288.67,2317.49,2285.66,2289.77,267189.907
2026-02-02 10:00:00,2289.77,2298.56,2283.56,2286.72,82012.582
2026-02-02 10:15:00,2286.72,2290.0,2273.55,2286.58,97342.784
2026-02-02 10:30:00,2286.57,2292.47,2272.31,2278.19,69799.385
2026-02-02 10:45:00,2278.18,2280.33,2275.0,2276.65,43561.722
2026-02-02 11:00:00,2276.66,2285.96,2272.38,2281.71,59465.97
2026-02-02 11:15:00,2281.72,2283.01,2273.08,2282.25,33389.017
2026-02-02 11:30:00,2282.24,2291.85,2280.5,2287.61,65057.746
2026-02-02 11:45:00,2287.62,2297.07,2276.01,2281.21,77420.867
2026-02-02 12:00:00,2281.2,2299.48,2280.78,2297.36,40904.037
2026-02-02 12:15:00,2297.35,2317.44,2292.52,2307.61,113849.187
2026-02-02 12:30:00,2307.61,2310.17,2296.0,2298.97,57671.192
2026-02-02 12:45:00,2298.97,2316.91,2297.26,2310.09,67637.338
2026-02-02 13:00:00,2310.09,2312.62,2300.72,2309.95,41214.021
2026-02-02 13:15:00,2309.95,2328.0,2302.43,2312.05,78460.752
2026-02-02 13:30:00,2312.05,2326.59,2305.11,2320.34,71697.873
2026-02-02 13:45:00,2320.35,2334.68,2315.16,2326.29,110589.919
2026-02-02 14:00:00,2326.29,2330.0,2295.98,2305.55,133231.508
2026-02-02 14:15:00,2305.55,2320.13,2297.71,2315.85,106866.743
2026-02-02 14:30:00,2315.85,2367.97,2314.51,2351.1,376740.925
2026-02-02 14:45:00,2351.1,2361.6,2318.06,2327.59,184321.473
2026-02-02 15:00:00,2327.59,2352.76,2317.09,2347.26,146664.192
2026-02-02 15:15:00,2347.26,2379.88,2339.73,2366.18,198035.303
2026-02-02 15:30:00,2366.18,2395.4,2359.33,2375.63,186821.964
2026-02-02 15:45:00,2375.62,2383.07,2360.0,2370.88,120090.537
2026-02-02 16:00:00,2370.87,2380.0,2360.79,2373.81,95307.596
2026-02-02 16:15:00,2373.81,2385.56,2368.99,2382.69,71689.632
2026-02-02 16:30:00,2382.69,2384.8,2366.28,2370.26,67159.932
2026-02-02 16:45:00,2370.25,2370.87,2347.78,2357.04,95771.777
2026-02-02 17:00:00,2357.05,2376.99,2355.01,2373.03,83210.739
2026-02-02 17:15:00,2373.04,2379.99,2363.09,2364.96,45342.264
2026-02-02 17:30:00,2364.95,2372.63,2342.09,2352.26,83486.548
2026-02-02 17:45:00,2352.25,2359.24,2343.9,2355.07,42635.389
2026-02-02 18:00:00,2355.07,2355.49,2337.49,2342.64,57904.959
2026-02-02 18:15:00,2342.64,2345.0,2332.15,2334.89,51488.668
2026-02-02 18:30:00,2334.89,2358.57,2334.62,2344.47,67085.6
2026-02-02 18:45:00,2344.46,2350.56,2342.15,2343.08,25237.07
2026-02-02 19:00:00,2343.07,2349.3,2337.67,2344.35,40280.679
2026-02-02 19:15:00,2344.35,2348.73,2334.1,2340.8,26570.614
2026-02-02 19:30:00,2340.79,2341.89,2330.07,2340.16,46780.115
2026-02-02 19:45:00,2340.15,2340.44,2326.0,2329.75,50116.016
2026-02-02 20:00:00,2329.75,2339.18,2321.76,2325.14,59318.1
2026-02-02 20:15:00,2325.14,2332.42,2320.01,2326.66,39355.963
